vuln_id,compiler,compiler_version,vulnerability_type,root_cause,root_cause_detail,impact,compilation_stage,description,reported_time,reference,NNSmith,MT-DLComp,TVMFuzz
9598,apache/tvm,v0.8,CWE-787: Out-of-bounds Write,Memory Management Defects,"During TE schedule lowering to TIR (including bound-check insertion), the reduction init statement for a tensor placed with compute_at is emitted without the necessary predicate guarding the valid iteration domain. This can cause the init to execute for out-of-bounds indices, leading to memory corruption and crashes with crafted schedules/shapes.",Memory-safety Violation,Backend,[Bug] Missing predicate guarding reduction init for a tensor scheduled with compute_at,2021-11-26T21:25:57Z,https://github.com/apache/tvm/issues/9598,N,N,N
9813,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"A crafted Relay graph placing argmin immediately after conv2d triggers a layout inference/AlterOpLayout mismatch, leading to an internal layout error and compiler crash during Relay graph optimization, impacting compilation availability.",Compilation Crash,Frontend,[Bug] Layout Error when Putting `argmin` after `conv2d`,2021-12-30T00:53:03Z,https://github.com/apache/tvm/issues/9813,Y,Y,N
9927,apache/tvm,v0.8,Improper Control of Compilation Availability,Memory Management Defects,"During Relay->TE compilation, ComputeOp::ComputeVerifier performs recursive verification over the TE expression/iteration structure produced by large Einsum inputs. The recursion depth scales with input/problem size without an iterative traversal or depth limit, leading to stack overflow (crash) and potential resource exhaustion from adversarially large models.",Resource Exhaustion,Backend,[Bug] `ComputeVerifier`: Stack overflow on `Einsum`s with large inputs,2022-01-13T16:29:55Z,https://github.com/apache/tvm/issues/9927,N,N,N
10012,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Memory Management Defects,"The CRT runtime enforces a limited maximum number of registered functions (e.g., via a fixed-size table/array). When a model/module registers more functions than this limit, the runtime does not robustly handle the exceptional condition (no safe rejection/resizing), resulting in crashes and potential memory corruption due to out-of-bounds/invalid table access.",Memory-safety Violation,Runtime,[Bug] limited function numbers on crt runtime,2022-01-21T04:50:03Z,https://github.com/apache/tvm/issues/10012,Y,Y,N
10210,apache/tvm,v0.8,CWE-682: Incorrect Calculation,Numerical Computing Defects,"During TIR/GPU schedule lowering, the tree-reduction pattern using shared memory produces incorrect results when threadIdx.y is involved (i.e., 2D thread blocks). The reduction lowering likely assumes a 1D thread index or miscomputes per-thread offsets/synchronization across the y dimension, causing wrong accumulation and inference result inconsistency rather than a hard crash.",Inference Inconsistency,Backend,[Bug] Tree reduction with shared memory is buggy where there is threadIdx.y,2022-02-10T11:18:28Z,https://github.com/apache/tvm/issues/10210,Y,N,Y
10223,apache/tvm,v0.8,Incorrect Preservation of Model Semantics,Tensor Mapping Defects,"Relay operator type inference/shape function for Conv2DTranspose does not correctly account for the `groups` parameter, leading to wrong inferred shapes/semantics and potentially triggering downstream crashes or inconsistent inference results when compiling models that use grouped transposed convolutions.",Invalid Output Generation,Frontend,[Bug] Conv2DTranspose with groups not working correctly,2022-02-11T15:56:56Z,https://github.com/apache/tvm/issues/10223,N,N,N
10309,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"After autoscheduler tuning on ARM CPU, the lowered TOPI/TE dense(matmul) compute ends up with a tensor_b shape mismatch, leading to an internal inconsistency that triggers a crash during compilation/lowering. A crafted model/workload that drives this tuning path can cause a denial-of-service via compiler crash.",Invalid Output Generation,Backend,[Bug] dense.py in matmul  tensor_b.shape mismatch after autoscheduler tuning in ARM CPU,2022-02-18T12:11:08Z,https://github.com/apache/tvm/issues/10309,N,N,N
10324,apache/tvm,v0.8,Improper Control of Compilation Availability,IR Transformation Errors,"When the Relay/VM compilation is run with opt_level=0, essential transformation/analysis passes (e.g., those establishing memory planning/ManifestAlloc prerequisites) are skipped, but later stages still assume their results. This leads to invalid memory allocation metadata/state and a resulting segmentation fault (potential memory corruption) triggered by a crafted model/program compiled under opt_level=0.",Compilation Crash,Backend,[Bug][VM] Segmentation fault triggered if opt level set to 0,2022-02-19T07:20:33Z,https://github.com/apache/tvm/issues/10324,N,N,N
10369,apache/tvm,v0.8,CWE-617: Reachable Assertion,Invariant Violations,"During AutoScheduler task extraction / compute DAG analysis, a model using `layout_free_placeholders` can trigger a code path where an expected mapping entry is absent, causing the assertion `name_it != name_to_arg.end()` to fail and crash the compiler instead of gracefully handling the unusual placeholder layout case.",Compilation Crash,Backend,[Bug][AutoScheduler] `name_it != name_to_arg.end()` check failed with `layout_free_placeholders`,2022-02-24T09:02:07Z,https://github.com/apache/tvm/issues/10369,Y,Y,N
10374,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,Tensor Mapping Defects,"During AOTExecutorCodegen (LegalizePackedCalls), the device_id field for intermediate tensors is not populated, leading to incorrect device context handling at runtime and resulting in crashes or degraded reliability when executing generated code.",Invalid Output Generation,Backend,[Bug] AOTExecutorCodegen doesn't populate device_id of intermediate tensors,2022-02-24T18:29:13Z,https://github.com/apache/tvm/issues/10374,Y,N,N
10390,apache/tvm,v0.8,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"The Relay FuseOps pass reads the link_params setting from the executor configuration instead of the target configuration, leading to inconsistent compilation settings and a crash during graph-level transformation under certain build configurations.",Compilation Crash,Frontend,[Bug] fuse_ops takes link_params from executor instead of target,2022-02-25T17:32:13Z,https://github.com/apache/tvm/issues/10390,N,N,N
10398,apache/tvm,v0.8,CWE-476: NULL Pointer Dereference,Memory Management Defects,"InferType crashes when a Relay function calls a global identity function, indicating the type inference logic fails to properly handle or validate the resolved global function/its type (e.g., missing/undefined checked_type or function node), leading to a NULL dereference and compiler crash.",Memory-safety Violation,Frontend,[Bug] InferType crashes when a relay function calls an global identity function,2022-02-27T14:30:03Z,https://github.com/apache/tvm/issues/10398,Y,Y,N
