vuln_id,source,compiler,compiler_version,root_cause,impact,compilation_stage,description,fix_status,references,reported_time
apache/tvm#17386,GitHub Issue,TVM,v0.17.0,type system/type confusion issue,denial of service; memory corruption,frontend/IR construction; graph optimization; lowering; backend,"[Bug] [CodeGen] InternalError: Check failed: (is_zero(op->min)) is false during CodeGen\nExpected behavior A successful compilation, or messages about what part of the program being compiled fails. As far as I can tell this should at least surface a more user-friendly message if the TIR is invalid. Actual behavior I get a long trace (added below) which ends with this message: InternalError: Check failed: (is_zero(op->min)) is false: This seems to fail in the tir.LowerIntrin pass Steps to reproduce This script causes the exception to occur: import tvm from tvm import tir from tvm.tir.analysis.analysis import verify_well_formed, verify_memory from tvm.script import tir as T @T.prim_func def tvmgen_default_fused_nn_conv2d_3(p0: T.Buffer((1, 256, 56, 56), ""float32""), p1: T.Buffer((256, 256, 3, 3), ""float32""), output_unpack: T.Buffer((1, 256, 56, 56), ""float32"")): T.func_attr({""from_legacy_te_schedule"": T.bool(True), ""hash"": ""032dbe00302af996"", ""target"": T.target({""host"": {""keys"": [""cpu""], ""kind"": ""llvm"", ""tag"": """"}, ""keys"": [""cpu""], ""kind"": ""llvm"", ""tag"": """"}), ""tir.noalias"": T.bool(True)}) data_vec = T.allocate([802816], ""float32"", ""global"") data_pad = T.allocate([861184], ""float32"", ""global"") data_vec_1 = T.Buffer((802816,), data=data_vec) for bs_c_fused_h_fused in T.parallel(3584): for w, vc in T.grid(56, 4): p0_1 = T.Buffer((802816,), data=p0.data) data_vec_1[bs_c_fused_h_fused * 224 + w * 4 + vc] = p0_1[bs_c_fused_h_fused // 56 * 12544 + vc * 3136 + bs_c_fused_h_fused % 56 * 56 + w] data_pad_1 = T.Buffer((861184,), data=data_pad) for i0_i1_fused_i2_fused in T...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The traceback indicates a check failure during code generation (`Check failed: (is_zero(op->min)) is false`). This suggests a potential vulnerability in the code generation process that could lead to unexpected behavior, potentially exploitable conditions like integer overflows or out-of-bounds access, or even denial of service. While not immediately o...",open,https://github.com/apache/tvm/issues/17386,2024-09-19T00:48:00Z
apache/tvm#17387,GitHub Issue,TVM,v0.17.0,codegen/lowering bug,denial of service,frontend/IR construction; graph optimization; lowering; backend,"[Bug] [TIR] Variable is not defined in the environment IndexError when compiling TIR that looks 'correct'\nSteps to Reproduce import tvm from tvm import tir from tvm.tir.analysis.analysis import verify_well_formed, verify_memory from tvm.script import tir as T @T.prim_func def tvmgen_default_fused_nn_conv2d_8(p0: T.Buffer((1, 64, 35, 35), ""float32""), p1: T.Buffer((96, 64, 3, 3), ""float32""), output_unpack: T.Buffer((1, 96, 35, 35), ""float32"")): T.func_attr({""from_legacy_te_schedule"": T.bool(True), ""hash"": ""bdd66943e9f8a12c"", ""target"": T.target({""host"": {""keys"": [""cpu""], ""kind"": ""llvm"", ""tag"": """"}, ""keys"": [""cpu""], ""kind"": ""llvm"", ""tag"": """"}), ""tir.noalias"": T.bool(True)}) data_vec = T.allocate([78400], ""float32"", ""global"") data_pad = T.allocate([87616], ""float32"", ""global"") data_vec_1 = T.Buffer((78400,), data=data_vec) for bs_c_fused_h_fused in T.parallel(560): for w, vc in T.grid(35, 4): p0_1 = T.Buffer((78400,), data=p0.data) data_vec_1[bs_c_fused_h_fused * 140 + w * 4 + vc] = p0_1[bs_c_fused_h_fused // 35 * 4900 + vc * 1225 + bs_c_fused_h_fused % 35 * 35 + w] data_pad_1 = T.Buffer((87616,), data=data_pad) for i0_i1_fused_i2_fused in T.parallel(592): for i3 in range(37): cse_var_2: T.int32 = i0_i1_fused_i2_fused % 37 cse_var_1: T.int32 = i3 * 4 data_pad_1[i0_i1_fused_i2_fused * 148 + cse_var_1:i0_i1_fused_i2_fused * 148 + cse_var_1 + 4] = T.if_then_else(1 <= cse_var_2 and cse_var_2 < 36 and 1 <= i3 and i3 < 36, data_vec_1[i0_i1_fused_i2_fused // 37 * 4900 + cse_var_2 * 140 + cse_var_1 - 144:i0_i1_fused_i2_fused // 37 * 4900 + cse_var_2 * 140 + cse_var_1 - 144 + 4], T.Broadcas...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The issue reports an `IndexError` during compilation of TVM Intermediate Representation (TIR) code. While seemingly a bug in the compiler, the root cause is a variable (`cse_var_7`) not being defined in the environment. This could potentially be exploited to cause a denial of service by crafting malicious TIR code that triggers undefi...",open,https://github.com/apache/tvm/issues/17387,2024-09-19T00:59:00Z
apache/tvm#17388,GitHub Issue,TVM,v0.17.0,shape inference error,memory corruption; remote code execution,frontend/IR construction; graph optimization; lowering; backend,"[Bug] [tir] tir.LowerIntrin check failed additional_info.size() == new_size (34 vs. 33)\nApologies if this isn't a real bug, but I'm getting an InternalError when trying to compile (see code sample below). As far as I can tell, I should be getting some more meaningful diagnostic information from the compiler if the issue is a result of the TIR I passed in. Steps to Reproduce: import tvm from tvm import tir from tvm.tir.analysis.analysis import verify_well_formed, verify_memory from tvm.ir.instrument import PrintBeforeAll, PrintAfterAll from tvm.script import tir as T @T.prim_func def tvmgen_default_fused_add_24(p0: T.Buffer((1, 96, 17, 17), ""float32""), p1: T.Buffer((96, 1, 1), ""float32""), T_add: T.Buffer((1, 96, 17, 17), ""float32"")): T.func_attr({""from_legacy_te_schedule"": T.bool(True), ""hash"": ""17a6861adc5229a4"", ""target"": T.target({""host"": {""keys"": [""cpu""], ""kind"": ""llvm"", ""tag"": """"}, ""keys"": [""cpu""], ""kind"": ""llvm"", ""tag"": """"}), ""tir.noalias"": T.bool(True)}) for ax0_ax1_fused in T.parallel(96): for ax2, ax3_outer, ax3_inner_s in T.grid(17, 2, 16): t173 = T.float32() if T.Shuffle([T.Broadcast(1605706854, 2), T.Broadcast(-96427232, 3) * T.Broadcast(-277792493, 3), T.Broadcast(-383474242, 3) - T.Broadcast(-1357069631, 3) - T.Broadcast(-1214239042, 3), T.min(T.Broadcast(173029349, 2), T.Broadcast(-1400794193, 2)), (T.Broadcast(-2053322971, 4) + T.Broadcast(-1647426900, 4)) // T.Broadcast(992887852, 4), 948927115, T.Add(1030968332, -1885249525) - T.Shuffle([T.Broadcast(2110489427, 2)], [T.truncmod(T.truncmod(T.uint32(604780606), T.uint32(1024356333)) % T.uint32(...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The error message \""Check failed: additional_info_.size() == new_size (34 vs. 33)\"" indicates a potential buffer overflow or out-of-bounds write condition during the compilation process. This is a memory safety issue that could potentially lead to arbitrary code execution or other security vulnerabilities. The stack trace suggests the issue occurs duri...",open,https://github.com/apache/tvm/issues/17388,2024-09-19T01:06:36Z
apache/tvm#17389,GitHub Issue,TVM,v0.17.0,memory safety issue,denial of service; memory corruption; remote code execution,graph optimization; lowering; runtime/execution,"[Bug] InternalError: Register Index Out of Bounds After LambdaLift Transformation with Nested Function in Relax VM Execution\nWhen attempting to run a Relax program that includes a nested function using the LambdaLift transformation, the following error occurs during execution on the Virtual Machine (VM): InternalError: Check failed: reg < frame->register_file.size() (18014398509481984 vs. 1) It seems that the LambdaLift transformation or subsequent stages introduce an incorrect register allocation, leading to an out-of-bounds access during VM execution. BTW, when the nested function is removed, the program executes without error. Actual behavior Traceback (most recent call last): File ""/share_container/register_file.py"", line 29, in <module> mod_outputs = vm['main'](input_0) ^^^^^^^^^^^^^^^^^^^ File ""/software/tvm/python/tvm/_ffi/_ctypes/packed_func.py"", line 239, in __call__ raise_last_ffi_error() File ""/software/tvm/python/tvm/_ffi/base.py"", line 481, in raise_last_ffi_error raise py_err tvm.error.InternalError: Traceback (most recent call last): 9: tvm::runtime::PackedFuncObj::Extractor<tvm::runtime::PackedFuncSubObj<tvm::runtime::relax_vm::VirtualMachineImpl::_LookupFunction(tvm::runtime::String const&)::{lambda(tvm::runtime::TVMArgs, tvm::runtime::TVMRetValue*)#1}> >::Call(tvm::runtime::PackedFuncObj const*, tvm::runtime::TVMArgs, tvm::runtime::TVMRetValue*) 8: tvm::runtime::relax_vm::VirtualMachineImpl::InvokeClosurePacked(tvm::runtime::ObjectRef const&, tvm::runtime::TVMArgs, tvm::runtime::TVMRetValue*) 7: tvm::runtime::PackedFuncObj::Extractor<tvm::runtime::PackedFuncSubObj<tvm::runtime:...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The issue reports an out-of-bounds access during VM execution (specifically, a register index out of bounds). This indicates a potential vulnerability that could lead to crashes, memory corruption, or potentially even remote code execution if the register file is used in a way that allows for arbitrary memory access...",open,https://github.com/apache/tvm/issues/17389,2024-09-19T06:13:40Z
apache/tvm#17390,GitHub Issue,TVM,v0.17.0,shape inference error,denial of service; memory corruption; remote code execution,frontend/IR construction; lowering; runtime/execution,"[Bug] Flaky Behavior in Relax VM Execution: ""ValueError: negative dimensions are not allowed"" and ""Floating point exception (core dumped)""\nWhen running a Relax program that involves dynamic strided slicing with specific input values, I encounter three types of behavior: The code runs without errors. The error ValueError: negative dimensions are not allowed is raised. A Floating point exception (core dumped) error causes the program to crash. This inconsistent behavior appears to depend on the values of the input tensors for begin, end, and strides. It seems that the shape function or dynamic strided slicing logic isn't handling all input cases properly, leading to negative dimensions or floating-point exceptions. Expected behavior The program should consistently run without errors, handling the input values appropriately for all valid cases. Actual behavior Run well ValueError: negative dimensions are not allowed Floating point exception (core dumped) Steps to reproduce import tvm from tvm import relax import numpy as np import os from tvm.script import ir as I from tvm.script import tir as T from tvm.script import relax as R @I.ir_module class Module: @T.prim_func(private=True) def dynamic_strided_slice(var_x: T.handle, begin: T.Buffer((T.int64(2),), ""int64""), end: T.Buffer((T.int64(2),), ""int64""), strides: T.Buffer((T.int64(2),), ""int64""), var_T_strided_slice_dynamic: T.handle): T.func_attr({""tir.noalias"": T.bool(True)}) n = T.int64() x = T.match_buffer(var_x, (T.int64(10), n)) s, s_1 = T.int64(), T.int64() T_strided_slice_dynamic = T.match_buffer(var_T_strided_slice_dynamic, (s, s_1)) # with T.block(""root""...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The issue reports crashes (Floating point exception (core dumped)) and potential for out-of-bounds access due to incorrect handling of input values in dynamic strided slicing. Specifically, the shape function and dynamic strided slice logic may lead to negative dimensions, which can be exploited to cau...",open,https://github.com/apache/tvm/issues/17390,2024-09-19T07:03:28Z
apache/tvm#17406,GitHub Issue,TVM,v0.17.0,type system/type confusion issue,memory corruption,graph optimization; lowering; backend; runtime/execution,"[Bug] [Relax] [LambdaLift] Argument type mismatch: expected R.Tensor, given R.Object\nActual behavior Traceback (most recent call last): File ""/share_container/optfuzz/res/bugs/llm.py"", line 35, in <module> ex = relax.build(mod, target='llvm') ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ File ""/software/tvm-latest/python/tvm/relax/vm_build.py"", line 335, in build mod = pipeline(mod) ^^^^^^^^^^^^^ File ""/software/tvm-latest/python/tvm/ir/transform.py"", line 238, in __call__ return _ffi_transform_api.RunPass(self, mod) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ File ""/software/tvm-latest/python/tvm/_ffi/_ctypes/packed_func.py"", line 245, in __call__ raise_last_ffi_error() File ""/software/tvm-latest/python/tvm/_ffi/base.py"", line 481, in raise_last_ffi_error raise py_err File ""/software/tvm-latest/python/tvm/relax/pipeline.py"", line 101, in _pipeline mod = seq(mod) ^^^^^^^^ File ""/software/tvm-latest/python/tvm/ir/transform.py"", line 238, in __call__ return _ffi_transform_api.RunPass(self, mod) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ File ""/software/tvm-latest/python/tvm/_ffi/_ctypes/packed_func.py"", line 245, in __call__ raise_last_ffi_error() File ""/software/tvm-latest/python/tvm/_ffi/base.py"", line 481, in raise_last_ffi_error raise py_err tvm._ffi.base.TVMError: Traceback (most recent call last): 31: tvm::runtime::PackedFuncObj::Extractor<tvm::runtime::PackedFuncSubObj<tvm::runtime::TypedPackedFunc<tvm::IRModule (tvm::transform::Pass, tvm::IRModule)>::AssignTypedLambda<tvm::transform::{lambda(tvm::transform::Pass, tvm::IRModule)#7}>(tvm::transform::{lambda(tvm::transform::Pas...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The error message \""Argument 0 type mismatch: expected R.Tensor, given R.Object\"" suggests a potential type confusion vulnerability. An attacker might be able to craft input that bypasses type checks, leading to unexpected behavior or potentially exploitable conditions like memory corruption or code execution. While not a direct exploit, the type mismatch...",open,https://github.com/apache/tvm/issues/17406,2024-09-23T08:42:12Z
apache/tvm#17439,GitHub Issue,TVM,v0.17.0,concurrency issue,denial of service; silent misclassification,graph optimization; lowering; backend,"[Bug] ThreadStorageSync Pass must be put after MergeSharedMemory Pass\nIn our current lowering pipeline, ThreadSync is placed before the MergeSharedMemoryAllocations Pass, which may lead to unknown behaviors because MergeSharedMemoryAllocations will modify the buffer access region. https://github.com/apache/tvm/blob/main/src/driver/driver_api.cc#L585-L613 bool detect_global_barrier = pass_ctx->GetConfig<Bool>(""tir.detect_global_barrier"", Bool(false)).value(); if (detect_global_barrier) { mixed_pass_list.push_back(tir::transform::ThreadSync(""global"")); } mixed_pass_list.push_back(tir::transform::ThreadSync(""shared"")); mixed_pass_list.push_back(tir::transform::ThreadSync(""shared.dyn"")); mixed_pass_list.push_back(tir::transform::ThreadSync(""warp"")); mixed_pass_list.push_back(tir::transform::InferFragment()); mixed_pass_list.push_back(tir::transform::LowerThreadAllreduce()); bool use_async_copy = pass_ctx->GetConfig<Bool>(""tir.use_async_copy"", Bool(false)).value(); if (use_async_copy) { mixed_pass_list.push_back(tir::transform::InjectPTXAsyncCopy()); } bool ptx_ldg32 = pass_ctx->GetConfig<Bool>(""tir.ptx_ldg32"", Bool(false)).value(); if (ptx_ldg32) { mixed_pass_list.push_back(tir::transform::InjectPTXLDG32()); } mixed_pass_list.push_back(tir::transform::AnnotateDeviceRegions()); mixed_pass_list.push_back(tir::transform::SplitHostDevice()); // MergeSharedMemoryAllocations must be applied after SplitHostDevice // because the merged allocation site is at the beginning of each device function mixed_pass_list.push_back(tir::transform::MergeSharedMemory...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The issue describes a potential data race condition due to incorrect pass ordering in the TVM compiler. Specifically, merging shared memory allocations after thread synchronization can lead to incorrect results ('random and small incorrect produce') because stores to the merged memory space might overwrite data loaded from it by other threads. This is a memory safety is...",open,https://github.com/apache/tvm/issues/17439,2024-10-04T17:05:38Z
apache/tvm#17460,GitHub Issue,TVM,v0.18.0,memory safety issue,denial of service; remote code execution,frontend/IR construction; graph optimization; lowering; runtime/execution,"[Bug] Segmentation Fault in PartitionTransformParams Pass with Relax IR\nI encountered a segmentation fault when applying the PartitionTransformParams pass to a Relax IR module that performs tensor concatenation and transposition operations. The segmentation fault occurs during the execution of the PartitionTransformParams pass, following a call to LiftTransformParams. Actual behavior [12:44:56] /software/tvm/src/runtime/logging.cc:390: TVM_LOG_DEBUG enables VLOG statements in 'ir/transform.cc' up to level 1 [12:44:56] /software/tvm/src/runtime/logging.cc:390: TVM_LOG_DEBUG enables VLOG statements in 'relay/ir/transform.cc' up to level 1 [12:44:57] /software/tvm/src/ir/transform.cc:479: Running pass PartitionTransformParams [12:44:57] /software/tvm/src/ir/transform.cc:418: PartitionTransformParams: Executing module pass with opt level: 1 Segmentation fault (core dumped) Steps to reproduce import tvm from tvm import relax from tvm.script import ir as I from tvm.script import tir as T from tvm.script import relax as R @I.ir_module class Module: @T.prim_func(private=True) def concatenate(rxplaceholder: T.Buffer((T.int64(1), T.int64(4), T.int64(64), T.int64(64)), ""float32""), rxplaceholder_1: T.Buffer((T.int64(1), T.int64(4), T.int64(64), T.int64(64)), ""float32""), T_concat: T.Buffer((T.int64(2), T.int64(4), T.int64(64), T.int64(64)), ""float32"")): T.func_attr({""op_pattern"": 2, ""tir.noalias"": T.bool(True)}) # with T.block(""root""): for ax0, ax1, ax2, ax3 in T.grid(T.int64(2), T.int64(4), T.int64(64), T.int64(64)): with T.block(""T_concat""): v_ax0, v_ax1...\n```json\n{\n ""security_related"": true,\n ""reason"": ""Segmentation faults can indicate memory safety issues, potentially leading to crashes or even exploitable vulnerabilities like arbitrary code execution. The issue occurs during a pass that transforms the IR, suggesting a bug in how the IR is handled, which could be triggered by malicious input and lead to a vulnerability.""\n}\n```",open,https://github.com/apache/tvm/issues/17460,2024-10-11T05:00:57Z
apache/tvm#17478,GitHub Issue,TVM,v0.18.0,type system/type confusion issue,memory corruption; remote code execution,frontend/IR construction; graph optimization; lowering; backend,"[Bug] InternalError ""Check failed: indices.size() == 1 (2 vs. 1): CodeGenLLVM requires all buffers to be flat 1-d buffers""\nWhen building a Relax module with a TIR function that uses axis separators in the buffer layout, TVM throws an InternalError during the compilation process. The error message suggests that TVM's LLVM code generation requires all buffers to be flat 1-dimensional, but the provided buffer has more than one index. The issue appears to be related to how the axis_separators attribute is handled in match_buffer, which results in a mismatch during LLVM code generation. Steps to reproduce import tvm from tvm import relax from tvm.script import ir as I from tvm.script import tir as T from tvm.script import relax as R @I.ir_module class Module: @T.prim_func(private=True) def te_layout_transform_axis_separator(x: T.Buffer((T.int64(16),), ""float32""), var_te_layout_transform_axis_separator: T.handle): T.func_attr({""tir.noalias"": T.bool(True)}) te_layout_transform_axis_separator = T.match_buffer(var_te_layout_transform_axis_separator, (T.int64(4), T.int64(4)), axis_separators=[1]) # with T.block(""root""): for self in range(T.int64(16)): with T.block(""te_layout_transform_axis_separator""): v_self = T.axis.spatial(T.int64(16), self) T.reads(x[v_self]) T.writes(te_layout_transform_axis_separator[v_self // T.int64(4), v_self % T.int64(4)]) te_layout_transform_axis_separator[v_self // T.int64(4), v_self % T.int64(4)] = x[v_self] @R.function def main(x: R.Tensor((16,), dtype=""float32"")) -> R.Tensor((4, 4), dtype=""float32""): cls = Module with R.dataflow(): lv = R.call_tir(cls.te_layout_transform_...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The error message \""Check failed: indices.size() == 1 (2 vs. 1): CodeGenLLVM requires all buffers to be flat 1-d buffers\"" indicates a potential vulnerability in how TVM handles buffer layouts during LLVM code generation. A mismatch in expected buffer dimensions could potentially lead to out-of-bounds memory access or...",open,https://github.com/apache/tvm/issues/17478,2024-10-21T11:56:57Z
apache/tvm#17529,GitHub Issue,TVM,v0.18.0,type system/type confusion issue,denial of service; memory corruption; remote code execution,frontend/IR construction; graph optimization; lowering; backend; runtime/execution,"[Bug] Check failed: (::tvm::runtime::IsContiguous(tensor->dl_tensor)) is false: DLManagedTensor must be contiguous.\nExpected behavior Thanks for this awesome work. I installed the apache-tvm-cu116 on CUDA11.6 machine. Then, I execute a python file and got the error: ...... 8: _PyObject_MakeTpCall at /usr/local/src/conda/python-3.10.14/Objects/call.c:215 7: PyCFuncPtr_call at /usr/local/src/conda/python-3.10.14/Modules/_ctypes/_ctypes.c:4221 6: _ctypes_callproc at /usr/local/src/conda/python-3.10.14/Modules/_ctypes/callproc.c:1262 5: _call_function_pointer at /usr/local/src/conda/python-3.10.14/Modules/_ctypes/callproc.c:916 4: ffi_call 3: ffi_call_int 2: ffi_call_unix64 1: TVMArrayFromDLPack 0: tvm::runtime::NDArray::FromDLPack(DLManagedTensor*) File ""/workspace/tvm/src/runtime/ndarray.cc"", line 242 TVMError: --------------------------------------------------------------- An error occurred during the execution of TVM. For more information, please see: https://tvm.apache.org/docs/errors.html --------------------------------------------------------------- Check failed: (::tvm::runtime::IsContiguous(tensor->dl_tensor)) is false: DLManagedTensor must be contiguous. Could you please tell me how to solve this error? Steps to reproduce You can run the following code to see my error: """""" Modified based on Longformer. @article{Beltagy2020Longformer, title={Longformer: The Long-Document Transformer}, author={Iz Beltagy and Matthew E. Peters and Arman Cohan}, journal={arXiv:2004.05150}, year={2020}, } """""" from typing import Union from functools import lru_cache import torch import os.path import s...\n```json\n{\n ""security_related"": true,\n ""reason"": ""The error message \""Check failed: (::tvm::runtime::IsContiguous(tensor->dl_tensor)) is false: DLManagedTensor must be contiguous\"" indicates a potential vulnerability related to memory management and tensor handling within TVM. Non-contiguous tensors can lead to out-of-bounds memory access or other memory safety issues when...",open,https://github.com/apache/tvm/issues/17529,2024-11-13T09:32:23Z
