vuln_id,compiler,compiler_version,vulnerability_type,root_cause,root_cause_detail,description,reported_time,reference
206,apache/tvm,v0.2.pre,CWE-704: Incorrect Type Conversion or Cast,Backend Inconsistencies,"In the CUDA backend lowering, ThreadIndex values (unsigned) are converted to signed types in a way that can change comparison/select behavior, leading to inconsistent inference results between the original model/IR and the generated CUDA code.",ThreadIndex unsigned to sign concise conversion,2017-07-02T09:07:24Z,https://github.com/apache/tvm/issues/206
410,apache/tvm,v0.2.pre,CWE-20: Improper Input Validation,Invariant Violations,"The VerifyMemory IR validation/verification pass does not robustly handle IR containing illegal memory accesses, leading to a compile-time crash (denial of service) instead of cleanly rejecting the malformed program/model with a controlled diagnostic.",[PASS] VerifyMemory Check illegal memory access in compile time,2017-09-03T02:50:45Z,https://github.com/apache/tvm/issues/410
445,apache/tvm,v0.2.pre,CWE-617: Reachable Assertion,Invariant Violations,"The TVM runtime RPC/session management enforces that a TVMContext must belong to the same remote session via a CHECK in rpc_session.cc, causing a process-terminating assertion failure (crash) when a crafted or malformed call passes a context from a different session instead of handling the condition safely.",rpc_session.cc:151: Check failed: Can only TVMContext related to the same remote sesstion,2017-09-11T09:19:44Z,https://github.com/apache/tvm/issues/445
552,apache/tvm,v0.2.pre,Improper Control of Compilation Availability,Backend Inconsistencies,"ROCm GPU kernel lowering/scheduling in TOPI unit tests triggers backend failures (crash/memory corruption) and inconsistent inference results, indicating improper handling of backend-specific exceptional conditions during code generation.",[ROCM] Failed topi unittests for rocm backend,2017-10-13T22:36:40Z,https://github.com/apache/tvm/issues/552
670,apache/tvm,v0.2.pre,CWE-682: Incorrect Calculation,Numerical Computing Defects,"The issue concerns whether TVM can (or does) vectorize a reduce_axis; incorrect handling of reduction vectorization can change reduction order/associativity and produce inconsistent inference results versus the original semantics, leading to silent numerical/semantic divergence rather than an explicit failure.",Is it possible to vectorize a reduce_axis?,2017-11-26T02:16:08Z,https://github.com/apache/tvm/issues/670
696,apache/tvm,v0.2.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"The issue report indicates crashes/reliability degradation in the IR optimization/simplification phase (tensorize verification and canonical simplification), suggesting the simplifier/tensorize logic fails on certain IR forms and can be triggered by crafted schedules/IR, leading to compiler instability (availability impact).",More simplification issues in tensorize ,2017-12-08T22:11:43Z,https://github.com/apache/tvm/issues/696
767,apache/tvm,v0.2.pre,Improper Control of Compilation Availability,Memory Management Defects,"The StorageRewrite pass mishandles allocation reuse across loop partitions, leading to invalid buffer lifetime/reuse decisions that can trigger compiler/runtime crashes or pathological memory behavior (resource exhaustion) when compiling certain loop-structured programs.",allocate reuse for loop partition,2018-01-09T09:09:06Z,https://github.com/apache/tvm/issues/767
787,apache/tvm,v0.2.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,Backend Inconsistencies,"Building a U-Net–style network causes the LLVM CPU backend code generation path to hit an unhandled condition and crash, allowing a crafted/complex model to reliably terminate compilation (availability impact) rather than being rejected or handled gracefully.",Crash when building unet-style network,2018-01-16T14:58:03Z,https://github.com/apache/tvm/issues/787
796,apache/tvm,v0.2.pre,CWE-682: Incorrect Calculation,Memory Management Defects,"During TIR lowering, AccessPtr address computation does not correctly account for unified buffer semantics (e.g., base/offset/extent alignment), which can generate incorrect pointer arithmetic and lead to out-of-bounds memory accesses, causing memory corruption, crashes, and inconsistent inference results.",Unified Buffer Support for AccessPtr,2018-01-20T06:50:58Z,https://github.com/apache/tvm/issues/796
902,apache/tvm,v0.2.pre,CWE-754: Improper Check for Unusual or Exceptional Conditions,IR Transformation Errors,"A crafted model/IR using an inline reduction pattern can drive TVM’s lowering passes (scheduling/message passing/bound inference) into an unhandled internal state, causing a crash and preventing compilation (denial of service).",Inline Reduction,2018-02-14T22:14:12Z,https://github.com/apache/tvm/issues/902
